contact_id,account_id,email,job_title,created_date,lead_id_source,hubspot_contact_id,salesforce_contact_id,email_opt_in,persona
CON000016,ACC000021,parker.james1987@signalgroup.io,Operations Director,2025-07-18,LED001987,HS200016,SFCON000016,True,User
CON000017,ACC000028,drew.king1892@cobaltlabs40.ai,IT Admin,2025-01-11,LED001892,HS200017,SFCON000017,True,Influencer
CON000018,ACC000401,emerson.sullivan1876@meridianlabs.com,Sales Manager,2026-05-02,LED001876,HS200018,SFCON000018,True,User
CON000019,ACC000210,taylor.james319@northstarsoftware4.co,Demand Gen Manager,2026-05-22,LED000319,HS200019,SFCON000019,True,Technical Buyer
CON000020,ACC000640,blake.sullivan79@northstarmarkets56.io,IT Admin,2025-02-05,LED000079,HS200020,SFCON000020,False,Economic Buyer
CON000021,ACC000230,parker.reed1010@nimbussystems47.com,Demand Gen Manager,2025-05-15,LED001010,HS200021,SFCON000021,True,Influencer
CON000022,ACC000001,bailey.davis2327@nimbusops.net,Demand Gen Manager,2025-12-26,LED002327,,SFCON000022,True,Champion
CON000023,ACC000471,quinn.king618@evergreensolutions.ai,VP Sales,2025-05-01,LED000618,HS200023,,True,Economic Buyer
CON000024,ACC000398,kendall.bell3589@cobaltplatform29.co,CEO,2026-01-03,LED003589,HS200024,SFCON000024,True,User
CON000025,ACC000273,casey.king1165@summitcloud.com,VP Sales,2025-06-22,LED001165,HS200025,SFCON000025,False,Procurement
CON000026,ACC000500,elliot.stone3913@summitmarkets10.ai,IT Admin,2026-02-24,LED003913,HS200026,SFCON000026,True,Procurement
CON000027,ACC000293,morgan.bennett1428@atlaslabs13.net,IT Admin,2025-06-25,LED001428,HS200027,SFCON000027,True,Champion
CON000028,ACC000393,emerson.brooks1492@novaworks39.net,CEO,2025-02-17,LED001492,HS200028,SFCON000028,False,Champion
CON000029,ACC000080,reese.adams840@ironwoodcloud13.net,IT Admin,2025-10-13,LED000840,HS200029,SFCON000029,True,Economic Buyer
CON000030,ACC000553,sam.king3483@vertexnetworks66.net,Marketing Director,2025-07-24,LED003483,HS200030,SFCON000030,True,Influencer
CON000031,ACC000050,harper.nelson3107@vertexlabs.ai,CEO,2026-02-02,LED003107,,SFCON000031,False,Procurement
CON000032,ACC000438,jordan.nelson2386@atlasanalytics.co,IT Admin,2025-12-09,LED002660,HS200032,SFCON000032,True,Influencer
CON000033,ACC000095,kendall.ross3862@meridiancloud.io,IT Admin,2026-06-26,LED003862,HS200033,SFCON000033,True,Economic Buyer
CON000034,ACC000318,charlie.brooks2313@ironwoodops.co,IT Admin,2025-10-16,LED002313,HS200034,SFCON000034,True,Influencer
CON000035,ACC000535,hayden.perry3850@brightmarkets38.io,CFO,2025-06-20,LED003850,HS200035,SFCON000035,True,Economic Buyer
CON000036,ACC000141,charlie.sullivan2280@nimbusdata.ai,Sales Manager,2025-12-26,LED002280,HS200036,SFCON000036,True,Procurement
CON000037,ACC000096,maya.gray699@apexlabs.ai,RevOps Manager,2026-03-29,LED000699,HS200037,SFCON000037,True,Champion
CON000038,ACC000399,emerson.miller414@novacloud74.co,CEO,2025-03-19,LED000414,,SFCON000038,True,Procurement
CON000039,ACC000363,reese.nelson2132@nimbusplatform.ai,VP Sales,2025-06-16,LED002132,HS200039,SFCON000039,True,Champion
CON000040,ACC000204,taylor.ross2179@nimbusanalytics95.com,RevOps Manager,2025-07-28,LED002179,HS200040,SFCON000040,True,Procurement
CON000041,ACC000034,rowan.perry3045@atlasdata.ai,Marketing Director,2026-01-13,LED003045,HS200041,SFCON000041,False,Economic Buyer
CON000042,ACC000552,harper.wright577@meridianmarkets.com,Sales Ops Analyst,2026-01-13,LED000577,HS200042,SFCON000042,True,Technical Buyer
CON000043,ACC000027,blake.patel1502@meridiansystems.co,IT Admin,2025-12-12,LED001502,HS200043,SFCON000043,False,Champion
CON000044,ACC000569,bailey.carter2241@cobaltanalytics.ai,Demand Gen Manager,2026-02-10,LED002241,HS200044,SFCON000044,True,Influencer
CON000045,ACC000580,kendall.reed606@evergreenanalytics.io,Sales Manager,2025-08-30,LED000606,HS200045,SFCON000045,True,Champion
CON000046,ACC000424,quinn.james3871@nimbushealth75.com,RevOps Manager,2025-12-09,LED003871,HS200046,SFCON000046,True,Procurement
CON000047,ACC000506,kendall.foster1061@cobaltcloud80.co,CFO,2025-02-27,LED001061,HS200047,SFCON000047,True,Influencer
CON000048,ACC000002,skyler.foster3938@catalystmarkets.ai,Operations Director,2025-05-30,LED003938,HS200048,SFCON000048,False,User
CON000049,ACC000151,harper.bell707@cobaltcloud98.io,VP Sales,2026-03-02,LED000707,HS200049,SFCON000049,False,Technical Buyer
CON000050,ACC000274,jamie.ross177@evergreenintellige.io,Sales Manager,2025-11-01,LED000177,HS200050,SFCON000050,True,Economic Buyer
CON000051,ACC000004,elliot.brooks988@summitmarkets88.co,Sales Ops Analyst,2025-02-06,LED000988,HS200051,SFCON000051,True,Economic Buyer
CON000052,ACC000313,parker.gray1114@pioneerhealth24.net,Operations Director,2026-01-26,LED001114,HS200052,SFCON000052,True,Economic Buyer
CON000053,ACC000415,rowan.king90@vertexplatform70.io,VP Sales,2025-11-02,LED000090,HS200053,SFCON000053,True,User
CON000054,ACC000241,jordan.reed986@clearpathlabs95.ai,Sales Manager,2025-04-13,LED000986,HS200054,SFCON000054,True,User
CON000055,ACC000363,alex.young1001@apexsolutions85.ai,RevOps Manager,2025-10-27,LED001001,HS200055,SFCON000055,True,User
CON000056,ACC000378,elliot.bell3699@keystoneplatform.com,VP Sales,2025-02-02,LED003699,HS200056,SFCON000056,True,Champion
CON000057,ACC000050,devon.adams3668@clearpathintellige.ai,CFO,2025-08-28,LED003668,HS200057,SFCON000057,True,Technical Buyer
CON000058,ACC000532,alex.james2289@northstarhealth.co,IT Admin,2026-06-15,LED002289,HS200058,SFCON000058,True,Influencer
CON000059,ACC000584,hayden.stone61@summitworks81.com,RevOps Manager,2026-05-08,LED000061,HS200059,SFCON000059,True,Technical Buyer
CON000060,ACC000278,skyler.miller927@ironwoodsystems49.ai,Marketing Director,2025-09-08,LED000927,HS200060,SFCON000060,True,Influencer
CON000061,ACC000136,elliot.brooks4139@brightlabs38.co,Demand Gen Manager,2025-07-08,LED004139,HS200061,SFCON000061,True,Procurement
CON000062,ACC000185,drew.carter2979@keystonemarkets79.co,VP Sales,2025-04-25,LED002979,HS200062,SFCON000062,True,Procurement
CON000063,ACC000626,hayden.james796@evergreenanalytics.ai,Marketing Director,2026-05-09,LED000796,HS200063,SFCON000063,False,Influencer
CON000064,ACC000535,bailey.price1544@ironwoodhealth54.co,CEO,2025-05-16,LED001544,HS200064,SFCON000064,False,Economic Buyer
CON000065,ACC000544,finley.foster2841@brightplatform.ai,IT Admin,2025-04-18,LED002841,HS200065,SFCON000065,True,Influencer
CON000066,ACC000364,sam.brooks2239@evergreensystems95.co,CFO,2025-10-03,LED002239,HS200066,SFCON000066,True,Technical Buyer
CON000067,ACC000474,jordan.nelson2386@atlasanalytics.co,Sales Ops Analyst,2026-03-19,LED002386,HS200067,SFCON000067,True,Champion
CON000068,ACC000246,bailey.perry184@apexnetworks.co,CEO,2026-02-12,LED000184,HS200068,SFCON000068,True,Economic Buyer
CON000069,ACC000199,cameron.bennett304@novacloud58.com,Operations Director,2026-03-02,LED000304,,SFCON000069,False,Champion
CON000070,ACC000570,alex.gray1627@pioneerplatform96.io,Sales Manager,2025-06-16,LED001627,HS200070,SFCON000070,True,Champion
CON000071,ACC000575,hayden.torres1421@meridianops42.com,CFO,2025-11-29,LED001421,HS200071,SFCON000071,False,Technical Buyer
CON000072,ACC000452,hayden.torres2916@vertexsolutions.com,Sales Ops Analyst,2025-10-22,LED002916,HS200072,SFCON000072,True,Economic Buyer
CON000073,ACC000500,elliot.stone537@nimbussystems47.com,IT Admin,2025-11-08,LED000965,HS200073,SFCON000073,True,Champion
CON000074,ACC000155,finley.torres3806@clearpathworks85.co,Sales Manager,2026-05-24,LED003806,HS200074,SFCON000074,True,Influencer
CON000075,ACC000390,sam.parker1787@catalystworks6.co,IT Admin,2025-07-15,LED001787,HS200075,SFCON000075,True,Technical Buyer
CON000076,ACC000249,avery.stone2074@evergreenintellige.io,RevOps Manager,2026-06-19,LED002497,HS200076,SFCON000076,False,Champion
CON000077,ACC000075,parker.perry1376@ironwooddynamics36.co,Marketing Director,2025-03-01,LED001376,HS200077,,True,Technical Buyer
CON000078,ACC000546,cameron.james1472@northstarmarkets19.co,CFO,2026-03-12,LED001472,HS200078,SFCON000078,True,Influencer
CON000079,ACC000551,finley.nelson1573@evergreenmarkets75.io,CEO,2025-01-27,LED001573,HS200079,SFCON000079,True,Influencer
CON000080,ACC000081,hayden.young1395@pioneerplatform77.com,CEO,2025-09-23,LED001395,HS200080,SFCON000080,True,Technical Buyer
CON000081,ACC000092,finley.ward3157@ironwoodsoftware.ai,RevOps Manager,2025-04-19,LED003157,HS200081,SFCON000081,True,Influencer
CON000082,ACC000588,devon.ross379@ironwoodhealth24.net,VP Sales,2026-04-10,LED000379,HS200082,SFCON000082,True,Influencer
CON000083,ACC000046,alex.sullivan2828@vertexsystems.com,RevOps Manager,2026-02-17,LED002828,,SFCON000083,True,Influencer
CON000084,ACC000520,avery.james1904@evergreenlabs.net,CEO,2026-06-02,LED001904,HS200084,SFCON000084,False,User
CON000085,ACC000164,harper.price2011@vertexsystems29.net,CFO,2025-07-03,LED002011,HS200085,SFCON000085,True,Influencer
CON000086,ACC000370,elliot.price2868@clearpathanalytics.io,Operations Director,2025-02-15,LED002868,HS200086,SFCON000086,True,User
CON000087,ACC000591,reese.carter3974@meridiandynamics77.ai,CEO,2025-04-28,LED003974,HS200087,SFCON000087,True,Economic Buyer
CON000088,ACC000632,bailey.young3400@signalmarkets96.io,CFO,2025-08-14,LED003400,HS200088,SFCON000088,False,Economic Buyer
CON000089,ACC000343,quinn.torres788@brightsystems91.io,Sales Ops Analyst,2026-07-03,LED000788,HS200089,SFCON000089,True,Technical Buyer
CON000090,ACC000562,charlie.long2943@meridianlabs56.ai,Operations Director,2026-07-13,LED002943,HS200090,SFCON000090,True,Champion
CON000091,ACC000510,riley.chen80@ironwoodgroup82.io,Demand Gen Manager,2026-04-08,LED000080,HS200091,SFCON000091,True,User
CON000092,ACC000599,rowan.parker3407@clearpathnetworks3.com,VP Sales,2026-02-14,LED003407,HS200092,SFCON000092,True,Champion
CON000093,ACC000111,alex.james365@vertexsolutions20.com,IT Admin,2025-08-05,LED000365,HS200093,SFCON000093,True,Technical Buyer
CON000094,ACC000116,avery.davis288@keystonemarkets13.co,IT Admin,2025-09-20,LED000288,HS200094,SFCON000094,True,Technical Buyer
CON000095,ACC000188,taylor.foster3887@cobaltplatform66.co,Operations Director,2025-04-29,LED003887,HS200095,SFCON000095,True,Economic Buyer
CON000096,ACC000521,kendall.kim3308@summitops58.co,CEO,2026-01-28,LED003308,HS200096,SFCON000096,False,Influencer
CON000097,ACC000570,kendall.price702@ironwoodlabs39.io,VP Sales,2025-07-15,LED000702,HS200097,SFCON000097,True,Economic Buyer
CON000098,ACC000131,alex.sullivan3902@brightcloud66.net,IT Admin,2025-05-08,LED003902,,SFCON000098,True,User
CON000099,ACC000509,morgan.ross1764@nimbusmarkets.ai,Operations Director,2026-02-27,LED001764,HS200099,,False,Champion
CON000100,ACC000340,cameron.perry2691@summithealth69.io,VP Sales,2025-10-10,LED002691,HS200100,SFCON000100,True,Technical Buyer
CON000101,ACC000240,reese.bell1009@atlasworks.co,Sales Ops Analyst,2025-10-11,LED001009,HS200101,SFCON000101,True,Champion
CON000102,ACC000073,logan.torres2484@pioneerhealth.net,Marketing Director,2026-04-06,LED002484,HS200102,SFCON000102,True,Procurement
CON000103,ACC000504,harper.stone547@catalystmarkets.ai,CFO,2026-04-16,LED000547,HS200103,SFCON000103,False,User
CON000104,ACC000107,kendall.gray2869@signalsoftware35.com,Sales Ops Analyst,2025-02-04,LED002869,HS200104,SFCON000104,True,User
CON000105,ACC000328,parker.bell1310@atlassystems29.io,RevOps Manager,2025-02-24,LED001310,HS200105,SFCON000105,True,Procurement
CON000106,ACC000501,emerson.bell1979@nimbussolutions.ai,CFO,2025-09-13,LED001979,HS200106,SFCON000106,True,Influencer
CON000107,ACC000554,elliot.james2435@pioneermarkets.net,CFO,2026-01-22,LED002435,HS200107,SFCON000107,True,Economic Buyer
CON000108,ACC000205,quinn.wright2002@clearpathworks85.co,IT Admin,2025-05-10,LED002002,HS200108,SFCON000108,True,Procurement
CON000109,ACC000355,logan.sullivan2895@cobaltgroup.co,VP Sales,2025-02-04,LED002895,HS200109,SFCON000109,True,Influencer
CON000110,ACC000373,sam.sullivan1842@clearpathsoftware.net,CEO,2026-06-02,LED001842,HS200110,,True,Champion
CON000111,ACC000175,blake.carter857@vertexlabs77.net,Sales Ops Analyst,2025-03-07,LED000857,HS200111,SFCON000111,False,Procurement
CON000112,ACC000600,rowan.parker2596@northstarnetworks4.net,Demand Gen Manager,2025-01-24,LED002596,HS200112,SFCON000112,True,Influencer
CON000113,ACC000353,harper.ward216@pioneersolutions.com,Sales Manager,2025-08-02,LED000216,HS200113,SFCON000113,True,Economic Buyer
CON000114,ACC000105,hayden.adams3657@summitops.net,CFO,2025-03-19,LED003657,HS200114,SFCON000114,True,Champion
CON000115,ACC000163,hayden.miller3688@catalystgroup20.net,RevOps Manager,2026-04-18,LED003688,HS200115,SFCON000115,True,Economic Buyer
CON000116,ACC000423,quinn.kim236@bluepeakintelligen.com,Demand Gen Manager,2025-03-19,LED000236,HS200116,SFCON000116,True,Champion
CON000117,ACC000199,jamie.stone2146@novacloud58.com,Demand Gen Manager,2025-11-11,LED002146,HS200117,SFCON000117,True,Champion
CON000118,ACC000607,maya.bell1138@bluepeakops21.net,Operations Director,2026-01-08,LED001138,HS200118,SFCON000118,True,Procurement
CON000119,ACC000161,hayden.stone1002@novacloud58.com,CFO,2026-05-21,LED001002,HS200119,SFCON000119,True,User
CON000120,ACC000351,kendall.brooks2785@cobaltsoftware.io,RevOps Manager,2025-07-02,LED002785,HS200120,SFCON000120,True,Influencer
CON000121,ACC000635,cameron.murphy2007@nimbusmarkets25.net,CEO,2025-11-08,LED002007,HS200121,SFCON000121,True,Economic Buyer
CON000122,ACC000388,morgan.chen925@northstardata74.co,Demand Gen Manager,2025-06-30,LED000925,HS200122,SFCON000122,True,Influencer
CON000123,ACC000241,sam.sullivan1182@clearpathlabs95.ai,VP Sales,2026-03-31,LED001182,HS200123,SFCON000123,True,Economic Buyer
CON000124,ACC000173,cameron.miller169@keystonehealth.ai,IT Admin,2026-06-03,LED000169,HS200124,,True,Procurement
CON000125,ACC000191,finley.stone1411@pioneeranalytics.co,VP Sales,2026-02-18,LED001411,HS200125,SFCON000125,True,Technical Buyer
CON000126,ACC000388,bailey.ross111@northstardata74.co,CEO,2025-03-04,LED000111,HS200126,SFCON000126,True,Technical Buyer
CON000127,ACC000120,skyler.reed2410@signalintelligence.net,CEO,2026-06-29,LED002410,HS200127,SFCON000127,False,Influencer
CON000128,ACC000137,riley.patel883@northstarworks5.com,Marketing Director,2025-09-29,LED000883,HS200128,SFCON000128,False,User
CON000129,ACC000273,skyler.perry1195@summitcloud.com,Sales Manager,2026-01-16,LED001195,HS200129,SFCON000129,False,Champion
CON000130,ACC000487,logan.gray2151@brightmarkets.ai,VP Sales,2025-04-03,LED002151,HS200130,SFCON000130,True,Influencer
CON000131,ACC000384,charlie.gray881@ironwoodnetworks73.io,RevOps Manager,2025-07-30,LED000881,HS200131,SFCON000131,True,Technical Buyer
CON000132,ACC000025,rowan.parker294@evergreensystems.com,Sales Manager,2026-02-14,LED000294,HS200132,SFCON000132,True,Technical Buyer
CON000133,ACC000029,emerson.parker460@brightlabs.ai,Operations Director,2026-07-03,LED000460,HS200133,SFCON000133,True,Champion
CON000134,ACC000147,sam.perry1335@keystonenetworks.io,Demand Gen Manager,2025-04-11,LED003382,HS200134,SFCON000134,True,Technical Buyer
CON000135,ACC000200,casey.brooks870@atlassolutions.net,Demand Gen Manager,2026-05-26,LED000870,HS200135,SFCON000135,False,Influencer
CON000136,ACC000413,quinn.long3349@cobaltsystems.ai,CEO,2026-05-08,LED003349,HS200136,SFCON000136,True,Champion
CON000137,ACC000452,avery.miller3385@apexsolutions9.co,VP Sales,2026-01-27,LED003385,HS200137,SFCON000137,True,Procurement
CON000138,ACC000523,harper.reed1558@keystonesoftware.io,IT Admin,2025-12-26,LED001558,HS200138,SFCON000138,True,User
CON000139,ACC000585,hayden.torres2383@atlascloud74.net,CEO,2025-06-27,LED002383,HS200139,SFCON000139,True,Champion
CON000140,ACC000249,kendall.stone1074@novaintelligence92.com,Marketing Director,2025-10-20,LED001074,HS200140,SFCON000140,True,User
CON000141,ACC000634,hayden.davis3519@ironwoodsystems99.net,CFO,2025-10-14,LED003519,HS200141,SFCON000141,True,Champion
CON000142,ACC000507,morgan.foster3956@meridiansolutions9.co,Demand Gen Manager,2025-11-08,LED003956,HS200142,SFCON000142,True,Procurement
CON000143,ACC000206,drew.patel3543@evergreenmarkets98.net,IT Admin,2026-07-20,LED003543,HS200143,SFCON000143,True,Economic Buyer
CON000144,ACC000494,cameron.chen1887@northstarmarkets77.net,RevOps Manager,2025-08-25,LED001887,HS200144,SFCON000144,True,Influencer
CON000145,ACC000378,harper.kim3658@keystoneplatform.com,Demand Gen Manager,2025-05-21,LED003658,HS200145,SFCON000145,True,Technical Buyer
CON000146,ACC000171,jamie.chen1897@bluepeakops.com,Sales Manager,2026-02-25,LED001897,HS200146,SFCON000146,True,User
CON000147,ACC000154,emerson.chen3495@ironwoodsystems.net,Operations Director,2025-06-14,LED003495,HS200147,SFCON000147,True,User
CON000148,ACC000436,reese.price3019@vertexdynamics39.ai,Sales Manager,2026-01-30,LED003019,HS200148,SFCON000148,True,Procurement
CON000149,ACC000040,kendall.price2692@nimbusmarkets.ai,Operations Director,2025-02-08,LED002692,HS200149,SFCON000149,True,Procurement
CON000150,ACC000210,logan.king1616@northstarsoftware4.co,CFO,2025-05-31,LED001616,HS200150,SFCON000150,True,User
CON000151,ACC000635,blake.sullivan489@pioneerintelligenc.co,Sales Manager,2026-01-14,LED000489,HS200151,SFCON000151,True,Champion
CON000152,ACC000320,devon.davis2912@atlascloud86.net,CFO,2025-03-24,LED002912,HS200152,SFCON000152,False,Champion
CON000153,ACC000516,quinn.james2535@cobaltlabs40.ai,VP Sales,2026-05-30,LED002535,HS200153,SFCON000153,True,Champion
CON000154,ACC000549,rowan.murphy3884@brightsoftware68.ai,VP Sales,2026-02-13,LED003884,HS200154,SFCON000154,True,User
CON000155,ACC000173,kendall.price1416@keystonehealth.ai,Demand Gen Manager,2025-05-25,LED001416,HS200155,SFCON000155,True,User
CON000156,ACC000005,emerson.adams2518@summitsolutions.ai,Operations Director,2025-03-26,LED002518,HS200156,SFCON000156,True,Procurement
CON000157,ACC000552,quinn.king1486@evergreengroup93.net,Sales Manager,2025-09-02,LED001486,HS200157,SFCON000157,True,Champion
CON000158,ACC000179,taylor.nelson3845@atlashealth62.io,Sales Manager,2025-10-24,LED003845,HS200158,SFCON000158,False,Influencer
CON000159,ACC000339,devon.stone3967@bluepeaksolutions.net,RevOps Manager,2025-09-20,LED003967,HS200159,SFCON000159,True,Influencer
CON000160,ACC000155,alex.torres3771@clearpathworks85.co,Sales Ops Analyst,2026-01-22,LED003771,HS200160,SFCON000160,True,Economic Buyer
CON000161,ACC000222,quinn.bell2339@vertexlabs38.co,CEO,2025-10-01,LED002339,HS200161,SFCON000161,True,Influencer
CON000162,ACC000161,casey.perry2615@ironwoodplatform56.com,RevOps Manager,2026-03-08,LED002615,HS200162,SFCON000162,True,Influencer
CON000163,ACC000563,quinn.miller1996@apexgroup61.io,RevOps Manager,2026-01-29,LED001996,HS200163,SFCON000163,True,Influencer
CON000164,ACC000090,alex.carter2638@cobaltsolutions.co,Sales Ops Analyst,2025-01-26,LED002638,HS200164,,False,Procurement
CON000165,ACC000376,skyler.gray37@evergreennetworks4.net,Sales Ops Analyst,2026-03-18,LED000037,HS200165,SFCON000165,True,Economic Buyer
CON000166,ACC000514,skyler.foster1442@pioneersystems.ai,Demand Gen Manager,2025-06-17,LED001442,HS200166,SFCON000166,False,Procurement
CON000167,ACC000463,finley.wright2185@catalysthealth65.io,RevOps Manager,2026-06-10,LED002185,HS200167,SFCON000167,True,Procurement
CON000168,ACC000057,blake.ross2702@novagroup.com,Demand Gen Manager,2025-06-10,LED002702,HS200168,SFCON000168,True,Procurement
CON000169,ACC000115,riley.sullivan1507@brightnetworks.co,IT Admin,2025-07-07,LED001507,HS200169,SFCON000169,False,Influencer
CON000170,ACC000149,finley.king3133@signalcloud71.ai,Marketing Director,2025-12-23,LED003133,HS200170,SFCON000170,True,Technical Buyer
CON000171,ACC000267,morgan.parker3599@novasoftware.io,Marketing Director,2025-11-03,LED003599,HS200171,SFCON000171,True,Procurement
CON000172,ACC000266,quinn.price1578@keystonedynamics.io,Marketing Director,2026-05-19,LED001578,HS200172,SFCON000172,True,Procurement
CON000173,ACC000141,quinn.foster933@nimbusdata.ai,Operations Director,2025-02-09,LED000933,HS200173,SFCON000173,True,Procurement
CON000174,ACC000070,drew.brooks364@catalystsolutions5.com,Sales Manager,2025-08-24,LED000364,HS200174,SFCON000174,True,Economic Buyer
CON000175,ACC000099,alex.young1029@bluepeakworks.com,CFO,2026-01-22,LED001029,HS200175,SFCON000175,True,Influencer
CON000176,ACC000625,jamie.adams3440@ironwoodcloud.co,Marketing Director,2026-04-03,LED003440,HS200176,SFCON000176,True,Procurement
CON000177,ACC000497,logan.carter1373@vertexnetworks78.com,Marketing Director,2025-08-14,LED001373,HS200177,SFCON000177,False,Technical Buyer
CON000178,ACC000612,devon.carter2572@vertexplatform.com,Operations Director,2026-05-19,LED002572,HS200178,SFCON000178,True,User
CON000179,ACC000310,maya.adams2401@cobaltlabs56.ai,Sales Ops Analyst,2025-09-08,LED002401,HS200179,SFCON000179,True,Influencer
CON000180,ACC000375,kendall.carter1639@apexgroup.com,Sales Ops Analyst,2025-05-08,LED001639,HS200180,SFCON000180,True,Champion
CON000181,ACC000362,drew.chen2850@atlasmarkets.net,Sales Manager,2026-07-08,LED002850,HS200181,SFCON000181,True,Economic Buyer
CON000182,ACC000068,emerson.james3225@brightgroup.co,CEO,2025-07-27,LED003225,HS200182,SFCON000182,True,Technical Buyer
CON000183,ACC000249,hayden.bennett3841@novaintelligence92.com,Marketing Director,2026-01-25,LED003841,HS200183,SFCON000183,True,User
CON000184,ACC000342,hayden.carter854@apexnetworks.co,RevOps Manager,2026-04-29,LED000854,HS200184,SFCON000184,True,Economic Buyer
CON000185,ACC000408,sam.ross2949@clearpathintellige.io,Sales Manager,2025-07-18,LED002949,HS200185,SFCON000185,True,Influencer
CON000186,ACC000415,parker.bennett1072@nimbussoftware7.com,Demand Gen Manager,2025-11-10,LED001072,HS200186,SFCON000186,True,Economic Buyer
CON000187,ACC000215,quinn.long3190@vertexsoftware.com,RevOps Manager,2025-10-20,LED003190,HS200187,SFCON000187,True,Champion
CON000188,ACC000176,quinn.reed2048@pioneerops94.com,CEO,2025-03-11,LED002048,HS200188,SFCON000188,True,Influencer
CON000189,ACC000304,emerson.bell124@northstarlabs.io,Marketing Director,2025-10-22,LED000124,HS200189,SFCON000189,True,Technical Buyer
CON000190,ACC000048,charlie.chen451@northstargroup.co,CEO,2025-11-14,LED000451,HS200190,SFCON000190,True,Procurement
CON000191,ACC000082,rowan.reed363@vertexmarkets87.com,Marketing Director,2026-05-16,LED000363,HS200191,SFCON000191,True,Economic Buyer
CON000192,ACC000528,charlie.bell2205@catalystdata39.ai,Marketing Director,2025-05-06,LED002205,HS200192,SFCON000192,False,Influencer
CON000193,ACC000168,elliot.ross1797@ironwoodplatform56.com,Sales Manager,2026-04-10,LED001797,HS200193,SFCON000193,True,Economic Buyer
CON000194,ACC000447,finley.adams2863@pioneersoftware25.ai,CFO,2025-09-04,LED002863,HS200194,SFCON000194,False,Champion
CON000195,ACC000532,cameron.stone1622@northstarhealth.co,IT Admin,2025-08-03,LED001622,HS200195,SFCON000195,True,Influencer
CON000196,ACC000479,sam.bell1945@nimbusdata25.net,VP Sales,2025-08-20,LED002543,HS200196,SFCON000196,False,Influencer
CON000197,ACC000606,elliot.miller672@cobaltdynamics.co,VP Sales,2026-06-07,LED000672,HS200197,SFCON000197,True,Procurement
CON000198,ACC000129,maya.carter1169@novagroup.com,CEO,2026-07-08,LED001169,HS200198,SFCON000198,True,Economic Buyer
CON000199,ACC000451,jamie.ross3746@pioneergroup.co,CFO,2025-02-15,LED003746,HS200199,SFCON000199,True,Champion
CON000200,ACC000205,avery.carter2317@bluepeaknetworks.ai,CEO,2025-07-25,LED002317,HS200200,SFCON000200,True,Technical Buyer
CON000201,ACC000132,parker.stone1530@summitdata.com,Demand Gen Manager,2026-07-06,LED001530,HS200201,SFCON000201,True,User
CON000202,ACC000432,avery.stone575@apexplatform96.ai,Sales Ops Analyst,2026-06-02,LED000575,HS200202,SFCON000202,True,Influencer
CON000203,ACC000500,sam.wright1105@summitmarkets10.ai,CFO,2025-10-05,LED001105,HS200203,SFCON000203,True,Champion
CON000204,ACC000594,morgan.james3232@bluepeakintelligen.com,Operations Director,2026-07-13,LED003232,HS200204,,True,Influencer
CON000205,ACC000378,quinn.gray1735@keystoneplatform.com,Sales Ops Analyst,2025-07-18,LED001735,HS200205,SFCON000205,True,Influencer
CON000206,ACC000608,blake.nelson321@cobaltmarkets86.io,Sales Ops Analyst,2026-05-28,LED000321,HS200206,SFCON000206,True,Influencer
