Email,First name,Last name,Company name,HubSpot Contact ID (synthetic),Salesforce Lead ID,Lead Source,Imported Funnel Stage,Lead Score,Industry,Segment,Region,Created Date,MQL Date,SQL Date,Form Submissions,Avg Conversion Score,Last Form Submission,Most Common Form,Email Sent Events,Email Delivered Events,Email Open Events,Email Click Events,Email Bounce Events,Email Unsubscribe Events
bailey.patel2298@novaworks.net,Bailey,Patel,Nova Works,HS102298,SFLED002298,Organic Search,Lead,2,EdTech,SMB,Northeast,3/23/2026,,,0,0,,,0,2,0,0,0,0
skyler.murphy1929@atlashealth62.io,Skyler,Murphy,Atlas Health 62,HS101929,SFLED001929,Webinar,Lead,67,Cybersecurity,Mid-Market,International,8/2/2025,,,1,44,8/21/2025,Demo Request,0,3,0,0,0,0
morgan.king1467@ironwoodnetworks.ai,Charlie,Davis,Pioneer Group,HS103297,SFLED003297,Direct,Lead,24,Cybersecurity,Mid-Market,Mountain,7/23/2025,,,1,15,9/24/2025,CRM Audit,0,3,0,0,0,0
skyler.bennett387@cobaltworks99.co,Skyler,Bennett,Cobalt Works 99,HS100387,SFLED000387,Referral,MQL,100,EdTech,SMB,Southeast,9/30/2025,10/17/2025,,1,62,11/4/2025,RevOps Playbook,0,3,0,0,0,0
cameron.sullivan1916@cobaltlabs91.com,Cameron,Sullivan,Cobalt Labs 91,HS101916,SFLED001916,Direct,Subscriber,37,Ecommerce,Mid-Market,Northeast,8/10/2025,,,0,0,,,0,3,0,0,0,0
morgan.reed1968@nimbuslabs52.com,Morgan,Reed,Nimbus Labs 52,,SFLED001968,Direct,Lead,37,FinTech,SMB,West,8/30/2025,,,2,84.5,9/16/2025,Demo Request,0,7,0,0,0,0
alex.adams776@summitnetworks.net,Alex,Adams,Summit Networks,HS100776,SFLED000776,Webinar,MQL,83,Manufacturing Tech,SMB,West,1/8/2026,1/10/2026,,2,7,2/12/2026,HubSpot-SFDC Checklist,0,5,0,0,0,0
drew.patel716@atlashealth62.io,Drew,Patel,Atlas Health 62,HS100716,SFLED000716,LinkedIn,Lead,31,Cybersecurity,Mid-Market,International,3/2/2025,,,1,75,4/17/2025,Webinar Registration,0,3,0,0,0,0
rowan.foster3562@cobaltplatform.com,Rowan,Foster,Cobalt Platform,HS103562,SFLED003562,Referral,Lead,91,Cybersecurity,Mid-Market,Northeast,10/27/2025,,,1,85,12/19/2025,Demo Request,0,5,0,0,0,0
hayden.young3042@apexgroup61.io,Hayden,Young,Apex Group 61,HS103042,SFLED003042,Partner,Disqualified,53,SaaS,Enterprise,Mountain,2/16/2025,,,2,43,4/4/2025,Demo Request,0,1,0,0,0,0
blake.parker4048@clearpathnetworks8.ai,Blake,Parker,Clearpath Networks 88,HS104048,,Organic Search,Lead,23,Healthcare Tech,Mid-Market,International,9/2/2025,,,2,48.5,11/2/2025,HubSpot-SFDC Checklist,0,2,0,0,0,0
emerson.sullivan3485@catalystanalytics.ai,Emerson,Sullivan,Catalyst Analytics,HS103485,SFLED003485,Event,Lead,89,SaaS,SMB,Northeast,5/13/2025,,,0,0,,,0,2,0,0,0,0
taylor.torres3855@keystoneops.ai,Taylor,Torres,Keystone Ops,HS103855,SFLED003855,Outbound,MQL,54,SaaS,Enterprise,International,8/16/2025,9/4/2025,,2,31,10/18/2025,ROI Calculator,0,5,0,0,0,0
rowan.king1757@apexsolutions28.io,Rowan,King,Apex Solutions 28,HS101757,SFLED001757,LinkedIn,MQL,56,Healthcare Tech,SMB,Central,6/3/2026,6/18/2026,,0,0,,,0,1,0,0,0,0
finley.sullivan4015@evergreendata88.ai,Finley,Sullivan,Evergreen Data 88,HS104015,SFLED004015,Content Download,MQL,60,SaaS,SMB,Southeast,6/25/2026,7/18/2026,,1,38,6/30/2026,RevOps Playbook,0,1,0,0,0,0
riley.parker89@bluepeakhealth.ai,Riley,Parker,BluePeak Health,HS100089,SFLED000089,Organic Search,Lead,41,Manufacturing Tech,Mid-Market,Northeast,7/1/2025,,,1,58,8/3/2025,Contact Us,0,5,0,0,0,0
emerson.james2733@bluepeakops21.net,Emerson,James,BluePeak Ops 21,HS102733,SFLED002733,Content Download,Lead,63,Healthcare Tech,Mid-Market,Mountain,4/17/2025,,,1,29,4/27/2025,ROI Calculator,0,5,0,0,0,0
jamie.long2302@meridianlabs79.io,Jamie,Long,Meridian Labs 79,HS102302,SFLED002302,LinkedIn,Subscriber,32,Logistics Tech,SMB,Central,6/8/2026,,,0,0,,,0,3,0,0,0,0
alex.stone1512@brightops.net,Alex,Stone,Bright Ops,HS101512,SFLED001512,Webinar,Lead,33,SaaS,Mid-Market,Mountain,1/18/2026,,,0,0,,,0,3,0,0,0,0
jamie.nelson2872@meridianworks60.com,Jamie,Nelson,Meridian Works 60,HS102872,SFLED002872,Organic Search,Lead,44,SaaS,SMB,Mountain,10/29/2025,,,0,0,,,0,3,0,0,0,0
finley.reed1372@bluepeakplatform.co,Finley,Reed,BluePeak Platform,HS101372,SFLED001372,Paid Search,SQL,67,FinTech,Mid-Market,Northeast,4/27/2025,4/29/2025,5/28/2025,1,65,5/1/2025,Demo Request,0,3,0,0,0,0
riley.price3263@signalmarkets96.io,Riley,Price,Signal Markets 96,HS103263,SFLED003263,Direct,Lead,42,HR Tech,SMB,International,5/19/2026,,,2,46.5,6/30/2026,ROI Calculator,0,2,0,0,0,0
rowan.reed3790@apexanalytics.net,Rowan,Reed,Apex Analytics,HS103790,SFLED003790,Content Download,Lead,41,HR Tech,Enterprise,Southeast,8/23/2025,,,1,52,9/20/2025,Contact Us,0,4,0,0,0,0
skyler.bennett1039@vertexops24.net,Skyler,Bennett,Vertex Ops 24,HS101039,SFLED001039,Paid Search,Lead,51,Cybersecurity,SMB,Northeast,5/24/2025,,,1,42,7/9/2025,Contact Us,0,2,0,0,0,0
rowan.patel2180@signalanalytics.net,Rowan,Patel,Signal Analytics,HS102180,SFLED002180,Organic Search,Lead,28,HR Tech,Mid-Market,West,6/20/2026,,,3,44.66666667,6/30/2026,Contact Us,0,1,0,0,0,0
avery.wright1274@atlasdynamics.com,Avery,Wright,Atlas Dynamics,HS101274,SFLED001274,Partner,Lead,70,EdTech,SMB,West,6/24/2026,,,2,77.5,6/30/2026,Contact Us,0,1,0,0,0,0
skyler.stone4085@northstarmarkets77.net,Skyler,Stone,Northstar Markets 77,HS104085,SFLED004085,LinkedIn,Disqualified,9,Ecommerce,Enterprise,Central,4/6/2026,,,1,8,5/24/2026,Contact Us,0,2,0,0,0,0
taylor.ward2265@novamarkets.com,Taylor,Ward,Nova Markets,HS102265,SFLED002265,Partner,Lead,72,Healthcare Tech,Enterprise,Central,5/23/2025,,,5,39.8,7/21/2025,HubSpot-SFDC Checklist,0,4,0,0,0,0
charlie.gray1737@evergreendata3.ai,Charlie,Gray,Evergreen Data 3,HS101737,SFLED001737,Event,Lead,38,HR Tech,Mid-Market,Central,4/20/2026,,,0,0,,,0,3,0,0,0,0
avery.ward2627@summitsoftware94.net,Taylor,Adams,Cobalt Works 99,HS102735,SFLED002735,LinkedIn,SQL,66,EdTech,SMB,Southeast,4/14/2025,4/27/2025,5/10/2025,2,38.5,5/2/2025,RevOps Playbook,0,1,0,0,0,0
finley.long3325@evergreendata.co,Finley,Long,Evergreen Data,HS103325,,Outbound,Lead,36,SaaS,Mid-Market,Mountain,7/16/2025,,,0,0,,,0,1,0,0,0,0
cameron.price2279@bluepeakdata9.co,Cameron,Price,BluePeak Data 9,HS102279,SFLED002279,Paid Search,Lead,42,FinTech,SMB,Northeast,10/19/2025,,,2,35.5,11/4/2025,RevOps Playbook,0,0,0,0,0,0
logan.gray1062@nimbusanalytics95.com,Logan,Gray,Nimbus Analytics 95,HS101062,SFLED001062,LinkedIn,Disqualified,34,SaaS,Enterprise,Northeast,3/12/2025,,,2,67.5,4/18/2025,CRM Audit,0,3,0,0,0,0
alex.young1029@bluepeakworks.com,Alex,Young,BluePeak Works,,SFLED001029,Content Download,Opportunity,100,HR Tech,SMB,Central,1/11/2026,1/24/2026,2/1/2026,0,0,,,0,2,0,0,0,0
quinn.foster933@nimbusdata.ai,Quinn,Foster,Nimbus Data,HS100933,SFLED000933,Referral,Opportunity,72,SaaS,Enterprise,Southeast,1/20/2025,1/21/2025,2/2/2025,1,75,3/10/2025,HubSpot-SFDC Checklist,0,4,0,0,0,0
avery.miller1465@brightplatform58.io,Avery,Miller,Bright Platform 58,,SFLED001465,Paid Search,Lead,26,Manufacturing Tech,Mid-Market,Mountain,3/25/2025,,,1,36,5/22/2025,CRM Audit,0,0,0,0,0,0
emerson.ross2019@evergreenintellige.com,Emerson,Ross,Evergreen Intelligence 71,HS102019,SFLED002019,Partner,Lead,44,Logistics Tech,Enterprise,Northeast,8/19/2025,,,0,0,,,0,3,0,0,0,0
logan.king2938@pioneerworks29.net,Logan,King,Pioneer Works 29,HS102938,SFLED002938,Event,Disqualified,45,Manufacturing Tech,SMB,Southeast,11/21/2025,,,1,39,12/26/2025,Contact Us,0,1,0,0,0,0
charlie.miller2576@meridiansoftware.io,Charlie,Miller,Meridian Software,HS102576,SFLED002576,Outbound,Disqualified,40,FinTech,Enterprise,Southeast,3/14/2026,,,2,51,4/25/2026,CRM Audit,0,5,0,0,0,0
cameron.murphy156@ironwoodnetworks73.io,Cameron,Murphy,Ironwood Networks 73,,SFLED000156,Webinar,Subscriber,70,Logistics Tech,Mid-Market,Central,3/11/2026,,,2,29,4/29/2026,Webinar Registration,0,2,0,0,0,0
rowan.foster3669@catalystcloud.net,Rowan,Foster,Catalyst Cloud,HS103669,SFLED003669,Outbound,Disqualified,67,HR Tech,SMB,West,1/9/2025,,,1,76,1/19/2025,CRM Audit,0,3,0,0,0,0
finley.young2656@meridiansoftware78.net,Finley,Young,Meridian Software 78,HS102656,SFLED002656,Content Download,Lead,12,FinTech,Enterprise,West,1/2/2026,,,3,71.33333333,2/18/2026,Demo Request,0,2,0,0,0,0
skyler.adams2600@vertexsoftware45.co,Skyler,Adams,Vertex Software 45,HS102600,SFLED002600,Outbound,Subscriber,77,Logistics Tech,SMB,Mountain,6/14/2025,,,2,30,8/13/2025,HubSpot-SFDC Checklist,0,5,0,0,0,0
elliot.foster485@cobaltintelligence.com,Elliot,Foster,Cobalt Intelligence,HS100485,SFLED000485,Direct,MQL,65,Manufacturing Tech,Mid-Market,Northeast,6/4/2026,6/15/2026,,1,26,6/30/2026,Webinar Registration,0,2,0,0,0,0
sam.brooks4116@vertexnetworks66.net,Sam,Brooks,Vertex Networks 66,HS104116,SFLED004116,Paid Search,MQL,39,Ecommerce,Mid-Market,International,11/6/2025,11/7/2025,,2,58.5,12/30/2025,Contact Us,0,5,0,0,0,0
taylor.ward3949@catalystsoftware96.net,Taylor,Ward,Catalyst Software 96,,SFLED003949,Paid Search,MQL,61,Ecommerce,Mid-Market,International,4/18/2026,5/7/2026,,2,64.5,6/4/2026,ROI Calculator,0,2,0,0,0,0
logan.sullivan1391@meridianplatform48.net,Logan,Sullivan,Meridian Platform 48,HS101391,SFLED001391,Outbound,Lead,63,Healthcare Tech,SMB,Northeast,2/17/2026,,,0,0,,,0,2,0,0,0,0
bailey.foster13@summitsystems67.ai,Bailey,Foster,Summit Systems 67,HS100013,SFLED000013,Partner,Lead,22,Manufacturing Tech,SMB,International,7/16/2025,,,2,50.5,7/20/2025,Contact Us,0,4,0,0,0,0
charlie.carter259@atlasmarkets.net,Charlie,Carter,Atlas Markets,HS100259,SFLED000259,LinkedIn,Lead,40,HR Tech,Mid-Market,Central,8/13/2025,,,0,0,,,0,2,0,0,0,0
riley.long1844@summitsoftware.ai,Riley,Long,Summit Software,HS101844,SFLED001844,Content Download,Lead,56,Ecommerce,SMB,International,3/30/2025,,,1,59,4/4/2025,Demo Request,0,3,0,0,0,0
morgan.bell1279@meridianplatform48.net,Morgan,Bell,Meridian Platform 48,HS101279,SFLED001279,Content Download,Lead,61,Healthcare Tech,SMB,Northeast,7/30/2025,,,1,7,9/13/2025,Webinar Registration,0,2,0,0,0,0
morgan.foster1992@nimbusworks36.co,Parker,King,Catalyst Intelligence,,SFLED003198,Paid Search,Lead,62,FinTech,Enterprise,International,4/4/2025,,,0,0,,,0,2,0,0,0,0
cameron.sullivan1708@northstarsystems96.ai,Cameron,Sullivan,Northstar Systems 96,HS101708,SFLED001708,Referral,Lead,57,Cybersecurity,Mid-Market,Northeast,5/3/2025,,,2,49,6/1/2025,ROI Calculator,0,1,0,0,0,0
alex.adams2472@keystonelabs37.io,Alex,Adams,Keystone Labs 37,HS102472,SFLED002472,Paid Search,MQL,65,FinTech,Mid-Market,Mountain,6/26/2026,7/6/2026,,3,30.66666667,6/30/2026,Contact Us,0,5,0,0,0,0
cameron.james1815@cobalthealth15.ai,Cameron,James,Cobalt Health 15,HS101815,SFLED001815,LinkedIn,Lead,27,Ecommerce,Enterprise,Central,4/22/2025,,,2,46,5/17/2025,CRM Audit,0,0,0,0,0,0
maya.davis3066@bluepeakintelligen.com,Maya,Davis,BluePeak Intelligence 8,HS103066,SFLED003066,Webinar,Subscriber,52,EdTech,Mid-Market,Mountain,3/24/2026,,,0,0,,,0,2,0,0,0,0
quinn.bennett3117@nimbusdata29.net,Quinn,Bennett,Nimbus Data 29,HS103117,SFLED003117,Outbound,Lead,67,Cybersecurity,Mid-Market,International,9/10/2025,,,2,34.5,10/24/2025,CRM Audit,0,4,0,0,0,0
casey.adams490@cobaltdynamics59.ai,Casey,Adams,Cobalt Dynamics 59,HS100490,SFLED000490,LinkedIn,Lead,18,SaaS,SMB,Southeast,2/22/2025,,,2,44,4/6/2025,RevOps Playbook,0,2,0,0,0,0
elliot.young569@clearpathplatform8.com,Elliot,Young,Clearpath Platform 83,,SFLED000569,Referral,Lead,58,SaaS,SMB,Mountain,3/18/2026,,,1,46,5/4/2026,ROI Calculator,0,3,0,0,0,0
reese.patel3614@signalhealth89.co,Reese,Patel,Signal Health 89,HS103614,SFLED003614,Organic Search,MQL,56,Manufacturing Tech,Mid-Market,Central,7/5/2025,7/21/2025,,0,0,,,0,2,0,0,0,0
alex.sullivan4089@nimbusdynamics49.com,Alex,Sullivan,Nimbus Dynamics 49,,SFLED004089,Referral,Lead,57,SaaS,Enterprise,International,8/16/2025,,,1,85,8/22/2025,Webinar Registration,0,1,0,0,0,0
taylor.reed480@meridiandata.com,Taylor,Reed,Meridian Data,HS100480,SFLED000480,Referral,Lead,23,Healthcare Tech,SMB,Southeast,3/6/2025,,,1,58,4/6/2025,HubSpot-SFDC Checklist,0,1,0,0,0,0
casey.nelson1503@evergreendata.co,Casey,Nelson,Evergreen Data,HS101503,SFLED001503,Paid Search,Lead,54,SaaS,Mid-Market,Mountain,5/9/2025,,,0,0,,,0,3,0,0,0,0
kendall.torres2480@evergreenops30.ai,Kendall,Torres,Evergreen Ops 30,HS102480,SFLED002480,Partner,SQL,84,HR Tech,Enterprise,Southeast,4/2/2025,4/5/2025,5/15/2025,1,2,4/29/2025,Webinar Registration,0,5,0,0,0,0
elliot.davis1475@pioneerdynamics85.com,Elliot,Davis,Pioneer Dynamics 85,HS101475,SFLED001475,Webinar,Subscriber,83,FinTech,Enterprise,West,6/8/2025,,,0,0,,,0,4,0,0,0,0
jamie.bennett4056@evergreenworks.ai,Jamie,Bennett,Evergreen Works,,SFLED004056,Organic Search,Lead,27,Healthcare Tech,Mid-Market,West,9/11/2025,,,1,37,11/1/2025,Webinar Registration,0,1,0,0,0,0
casey.ward2110@northstarmarkets77.net,Casey,Ward,Northstar Markets 77,HS102110,SFLED002110,LinkedIn,Lead,48,Ecommerce,Enterprise,Central,11/30/2025,,,0,0,,,0,1,0,0,0,0
taylor.sullivan3593@catalystworks16.io,Taylor,Sullivan,Catalyst Works 16,HS103593,SFLED003593,Content Download,MQL,67,Ecommerce,Enterprise,International,5/31/2026,6/5/2026,,3,51.66666667,6/30/2026,Contact Us,0,2,0,0,0,0
logan.perry3247@bluepeakplatform.co,Logan,Perry,BluePeak Platform,HS103247,SFLED003247,Referral,SQL,67,FinTech,Mid-Market,Northeast,10/5/2025,10/7/2025,10/18/2025,2,63.5,12/3/2025,CRM Audit,0,3,0,0,0,0
casey.young4140@apexsystems.io,Casey,Young,Apex Systems,HS104140,SFLED004140,Referral,Lead,9,EdTech,Enterprise,Northeast,10/28/2025,,,0,0,,,0,1,0,0,0,0
avery.chen1701@summitops.net,Avery,Chen,Summit Ops,HS101701,SFLED001701,Paid Search,Subscriber,51,HR Tech,Enterprise,Northeast,12/29/2025,,,2,51.5,1/27/2026,CRM Audit,0,1,0,0,0,0
finley.king2063@meridianlabs56.ai,Finley,King,Meridian Labs 56,HS102063,SFLED002063,Outbound,Disqualified,59,Manufacturing Tech,SMB,Central,5/6/2025,,,2,32,6/9/2025,HubSpot-SFDC Checklist,0,1,0,0,0,0
parker.foster1542@summitanalytics90.io,Parker,Foster,Summit Analytics 90,HS101542,SFLED001542,LinkedIn,Lead,55,Manufacturing Tech,SMB,West,4/19/2026,,,2,50.5,6/3/2026,Contact Us,0,3,0,0,0,0
jamie.adams2965@ironwoodanalytics.net,Jamie,Adams,Ironwood Analytics,HS102965,SFLED002965,Direct,Lead,89,FinTech,Enterprise,Mountain,11/14/2025,,,2,69,12/6/2025,Demo Request,0,3,0,0,0,0
reese.young3061@atlasdata82.io,Reese,Young,Atlas Data 82,HS103061,SFLED003061,Direct,Lead,26,FinTech,Mid-Market,International,3/18/2025,,,1,88,5/9/2025,CRM Audit,0,6,0,0,0,0
hayden.miller3626@bluepeakcloud17.co,Hayden,Miller,BluePeak Cloud 17,HS103626,,Organic Search,Lead,71,FinTech,Mid-Market,Mountain,2/28/2026,,,3,57,4/9/2026,Demo Request,0,3,0,0,0,0
elliot.murphy3089@apexworks74.net,Elliot,Murphy,Apex Works 74,HS103089,SFLED003089,Paid Search,Subscriber,47,Healthcare Tech,Mid-Market,Central,9/2/2025,,,2,53,9/28/2025,CRM Audit,0,3,0,0,0,0
hayden.gray1961@clearpathnetworks2.net,Hayden,Gray,Clearpath Networks 24,HS101961,SFLED001961,Paid Search,Subscriber,43,FinTech,SMB,International,1/4/2025,,,2,60.5,2/10/2025,HubSpot-SFDC Checklist,0,2,0,0,0,0
logan.king2931@meridianworks60.com,Logan,King,Meridian Works 60,HS102931,SFLED002931,LinkedIn,MQL,60,SaaS,SMB,Mountain,5/19/2025,6/9/2025,,1,50,7/16/2025,Contact Us,0,5,0,0,0,0
hayden.james1349@northstarnetworks4.net,Hayden,James,Northstar Networks 48,HS101349,SFLED001349,Partner,Lead,54,Healthcare Tech,Enterprise,International,8/29/2025,,,2,40.5,9/19/2025,CRM Audit,0,3,0,0,0,0
maya.james2017@summitcloud.com,Maya,James,Summit Cloud,HS102017,SFLED002017,Partner,Disqualified,62,EdTech,Enterprise,Central,3/19/2026,,,0,0,,,0,1,0,0,0,0
alex.reed4179@summitnetworks26.io,Alex,Reed,Summit Networks 26,HS104179,SFLED004179,Content Download,Lead,11,Logistics Tech,Mid-Market,Central,1/7/2025,,,3,64,3/7/2025,CRM Audit,0,6,0,0,0,0
casey.ward2158@cobaltplatform66.co,Casey,Ward,Cobalt Platform 66,HS102158,SFLED002158,Content Download,Lead,38,Manufacturing Tech,Enterprise,Central,3/30/2026,,,1,61,5/13/2026,Demo Request,0,4,0,0,0,0
maya.davis1059@nimbusgroup.co,Maya,Davis,Nimbus Group,HS101059,SFLED001059,LinkedIn,Lead,58,Manufacturing Tech,SMB,Central,2/25/2025,,,0,0,,,0,1,0,0,0,0
hayden.ward3804@vertexhealth.net,Hayden,Ward,Vertex Health,HS103804,SFLED003804,Outbound,MQL,48,HR Tech,Enterprise,Mountain,3/27/2026,4/6/2026,,2,22,5/29/2026,ROI Calculator,0,0,0,0,0,0
taylor.adams1037@evergreennetworks9.co,Taylor,Adams,Evergreen Networks 99,HS101037,SFLED001037,Content Download,Lead,44,Healthcare Tech,Enterprise,West,12/22/2025,,,1,68,2/10/2026,Contact Us,0,2,0,0,0,0
devon.nelson2350@nimbusdata.ai,Devon,Nelson,Nimbus Data,,SFLED002350,Paid Search,Lead,9,SaaS,Enterprise,Southeast,12/14/2025,,,1,68,2/5/2026,CRM Audit,0,5,0,0,0,0
rowan.chen2720@summitcloud.com,Rowan,Chen,Summit Cloud,HS102720,SFLED002720,Content Download,Lead,47,EdTech,Enterprise,Central,8/30/2025,,,1,46,10/28/2025,Webinar Registration,0,5,0,0,0,0
jordan.bennett6@novadata58.co,Jordan,Bennett,Nova Data 58,HS100006,SFLED000006,Referral,Subscriber,54,HR Tech,SMB,Northeast,9/3/2025,,,2,59,10/13/2025,HubSpot-SFDC Checklist,0,1,0,0,0,0
